user_id,parent_asin,rating,timestamp
AEBT5ZUFEBK5S7IEPKLM5NGDEF6A,B07544JPPJ,4.0,1543376135679
AFSDCJ2RJNOMRVAOC5MBJKIFKULA,B08Z3XFRVH,5.0,1621455976827
AGXB654HQ6F3CS5M3STN5AFOKECA,B00XIF0T4Q,5.0,1430709442000
AEFN5MXTPVWQ65ZGNDTNH37YUGPA,B083S9LMLH,3.0,1623445333027
AEIDXYNMXZLGQJJ25MADNHV6NVMA,B0BK8RSX9D,4.0,1675043527430
AECGN64A63BPEMZTXSQMR2OWOLLQ,B00Q73PDSS,5.0,1419810679000
AH32JD3OGKVO3UJNLIFTL7Q7OWBQ,B004FXMGLY,5.0,1415902644000
AEEW6RD2FKWQKXXZ3SWZI3JKGY4A,B00LJ0UJ1U,5.0,1474338629000
AETIKVLVBEOGS2OIKMBWJN3LY4PQ,B07DN779SW,4.0,1501164165295
AEUYOVG4T52FRWTBTIOMDWZDS35Q,B00390BS7C,5.0,1501216070639
AESIDMBVTGLCGYHIQCB326IYCQWQ,B00OXZD9F6,5.0,1631279369836
AGJEXYDIPNFYHGPMEUOXSQBMTXWQ,B0105LW4CK,5.0,1472645806000
AFKOA5HUW4X37G6URB3VNY3SSU6Q,B081XF7BX1,5.0,1621989083566
AH4B27MN6R3NM2JWWPI2QDK322AQ,B0BS6BS317,1.0,1664214953032
AG7LA2PRSBI3XHF4GTSV4JUCEX2A,B07R1HYTXS,5.0,1579119336020
AHRFZTV4MMG5CNITGY73HBI3V2LQ,B00D6YFX0O,5.0,1405435852000
AE2EBIEQB25ZLPTCV4YWBPX6VL6Q,B0BYDZF9RY,5.0,1507431261684
AG5DDCZG3ILT4MYOBQQ25ZCCCUBQ,B004QHJESC,5.0,1542597657913
AG4OG7DNAOPCD4QVKTDUGH77AISA,B06XS2LZWV,5.0,1627846226859
AEFWV2X55H7MQRFEPCYXUCWNTHTQ,B08836GVPB,3.0,1570053436934
AG32BXO2AFXHQVTVEYBHIUIQOXDA,B001445AU6,5.0,1504543407426
AGQ44ORQYPIXAPDSEEQZZQDFET3Q,B07L8CKN8G,5.0,1572165164715
AFBCW6NX5ZDQW6XGRB5KZXRE6EFQ,B01M3TKV4N,5.0,1490915326000
AFRVLWOBXOLCETT4R27MC3JNT76Q,B006OQ35GU,1.0,1503002616569
AGWDRZFLSPUBUJBRTEAEAR2VIG4Q,B01IC0N50Q,5.0,1613706771201
AGCFIUYDICPWOCSVNQAADMUB2I2Q,B07X4ZST1D,5.0,1626535514528
AEP3NZZWFSOJIAHBVPSYSCWBLUKA,B01BV6GSUW,1.0,1612325187788
AFYNIZEDAB5ASGVCLA4WO62KWXIA,B006JRJA0Y,5.0,1472256647000
AHTNKHB5KZKY2B3I4ZZQEV5F3EMQ,B001KS6GIG,5.0,1457585499000
AHZMF2PBEDDAT23QPEULJSN3AFYA,B006VJO61I,3.0,1403051084000
AGZTZ5PSDWBE4JETYYP4YTLPGYBA,B014P06HS4,5.0,1534177884304
AERZGAAD5S5EPKKBTEUQ2S4PVRXA,B07ZTQHSSH,1.0,1560780248897
AHU3AJDFY4DX6BPFX6LRQ2XJENFA,B015VXWZ9O,3.0,1563828326848
AGAJOT3CFNH5MTGPN62VRHNNSHOQ,B000WN5F96,5.0,1464819868000
AF7XDSNKM4NTKEXVIPXONPWXFELQ,B01JAWEJF0,5.0,1552835957952
AFA3YWYD5UE4JG5RMMPQF5N35IYA,B06WRP5HNK,5.0,1543808049975
AF5ASCXCKX4SHKDMXSZNPBXD4U2A,B00NP60URE,5.0,1513542888050
AESCEH3F3ZYHIZF5BL4CQMISUGDA,B07SP8Z6WH,5.0,1624420147501
AFPV6J7BSLXSBBHJJMLLG4LTF5AA,B0017R5EQK,5.0,1549144910633
AGHXVV7HE7DUYDGC7GTRPZJXEQUQ,B0013G0MHQ,5.0,1644460057318
AF2BIB6BDWHLI5TJO7LC54KTKSIA,B0817HNPYG,5.0,1590947149487
AFQLTBV35LOXNXE7T63SX7SQRCJQ,B071VQW23N,1.0,1691252658917
AFR7H72Q2KG7BLBUVQZZLMJHVKSQ,B00170OE5Y,5.0,1422147284000
AFZ4K34QP34ZBYHRCQZDOK7HRBEQ,B017SO8Q7Y,5.0,1664369042070
AGAQTXTSH6CEEZXOX7QXMH76SOKQ,B005J43I56,5.0,1455221356000
AFU6TJTDC4HPZQD7E6VUT4M56FRQ,B06XT1MKSM,5.0,1436558667000
AEW3I7QUNH73ECPHLAYSWOBU4R5Q,B0832TLNV1,4.0,1583253626520
AEPL7KA2DUJK3MFHS6ICHGZ42DEQ,B0009JKGJW,4.0,1509966629904
AERMVZ7AS7FX3EORTZNQNV42WXXQ,B0BHMS8SXD,5.0,1675001818454
AGTSVFZVOMOAWGZWVSO2NNVSSJXA,B09769ZRV1,5.0,1665524830614
AHL2QJJZWJFAJW5RPD43RFVWIVOA,B00Y1HUH5G,5.0,1471956049000
AFLLSJQXMLUAZCI55YCARBHTZT5Q,B0BZ69WSKL,5.0,1473680480000
AH5ANGOKWPLSU3F5BUQG3OWAGICA,B07H5XXXBW,5.0,1578074584172
AEKTU5RUXTUWZWHJLCEZYTFFWYSQ,B0761Q3Y81,5.0,1550422410112
AEIIWO2CGAPZO6OERCU2LW4E7TUQ,B07QPBKBVF,5.0,1585274912105
AE3YPG5UT6MUMBFB3RQICFKLXQZA,B073SKMX8X,5.0,1654017761161
AFKTTMU3N76L3P6V77K57NHWFQ3Q,B000GU7JGW,5.0,1395209841000
AEKW3PU3JS36DQ5TAVMZN6MMNDBA,B09WXGX7QM,4.0,1469378789000
AGF5SLMTPRGZXCXAMDFVMYYVE56A,B00ANZW28U,5.0,1448698927000
AESC5U5TGMJIL46A4OM3JICNGXKA,B071HX8JNK,5.0,1572244560076
AGUVKNWMZ32OKNXUKATEEAEFTMIA,B01GRVSQJ2,5.0,1484441602000
AHRZOAR2XTMKFHH7DJBXZDW2NY6A,B01EOLUZ8W,4.0,1546475451499
AET4OTS7BTD7XRWFZLRBRQG5XPOA,B0871X1R6P,5.0,1622165626504
AEKTSGUAOHZ6V5R7PI56ZHRKZLFA,B07HHJ38VC,1.0,1580362055177
AHV2OH4APHRQV7C7OJRFFQDKKDMQ,B00FG9JI1C,4.0,1435001745000
AGVC7ZQ4VT2GMB4ALPRWUGSCZXAA,B07Z3RGL3Y,5.0,1638648152527
AH46JEA2NNFWCXP5QQMOO3EJMZPQ,B083DP5XZN,4.0,1568422216697
AHY7GCNTPTMBTOJAX6EYRT63IQDQ,B004NOIRAE,3.0,1411750448000
